Category,React Path,Angular Target (planned),Status,Notes/Dependencies
UI,components/Shared/AppHeader.tsx,angular/src/app/components/app-header,exists,Matches header structure
UI,components/Footer.tsx,angular/src/app/components/app-footer,exists,
UI,components/BrandLogo.tsx,angular/src/app/components/brand-logo,exists,
UI,components/BrandWatermark.tsx,angular/src/app/components/brand-watermark,exists,
UI,components/Shared/PerformanceCard.tsx,angular/src/app/components/kpi-card,partial,Maps to KPI card visuals and status colors
UI,components/KPIStoplight.tsx,angular/src/app/components/kpi-card,partial,Consolidated into KPI card
UI,components/DebugPanel.tsx,angular/src/app/components/debug-panel,exists,
UI,components/Dashboard/Dashboard.tsx,angular/src/app/pages/dashboard,partial,Skeleton present; needs Inputs panel parity
UI,components/InputsPanel.tsx,angular/src/app/pages/dashboard/components,missing,Recreate Inputs summary panel UI
UI,components/ScenarioSelector.tsx,angular/src/app/components/form-toolbar,partial,Scenario control in toolbar
UI,components/Wizard/*,angular/src/app/pages/wizard/*,exists,Income/Expenses/P&L pages scaffolded
Calc,lib/calcs.ts,angular/src/app/domain/calculations/calc.ts,exists,Core math ported
Calc,components/Wizard/calculations.ts,angular/src/app/domain/calculations/wizard-helpers.ts,exists,Growth/projection helpers
Calc,hooks/useCalculations.ts,angular/src/app/core/services/calculation.service.ts,exists,Angular service adapter
Calc,types/expenses.ts,angular/src/app/domain/types/expenses.types.ts,exists,17 fields + helpers
Calc,data/presets.ts,angular/src/app/core/tokens (TBD) or services,missing,Decide token vs service seed
Config,hooks/useBranding.ts,angular/src/app/services/branding.service.ts,exists,Brand CSS var application
Config,styles/branding.ts,angular/src/app/lib/brands.ts,exists,Brand definitions
Config,hooks/useAppState.ts,angular/src/app/core/services/wizard-state.service.ts,exists,State container replacement
Config,hooks/usePersistence.ts,angular/src/app/core/services/wizard-state.service.ts,partial,Persistence to be added
Config,Region thresholds/constants,angular/src/app/core/tokens/region-configs.token.ts,exists,Injection token + defaults
Style,styles/branding.ts,angular/src/styles.scss + styles/*,partial,Tokens/layout/KPI partials in place
Style,Component styles (*.css/scss),angular component .scss peers,exists,Scoped styles via ViewEncapsulation
